"_raw",host,index,source,sourcetype,"_time"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:16.719Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric4"", ""entityName"": ""EOL11923"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco Nexus 9396PX Switch,N9K-M12PQ and N9K-M6PQ-E expansion module"", ""nodeNames"": [""fabric4-leaf1"", ""fabric4-leaf10"", ""fabric4-leaf8"", ""fabric4-leaf7""], ""advisoryId"": ""EOL11923_fabric4"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of-life dates for the cisco nexus 9396px switch,n9k-m12pq and n9k-m6pq-e expansion module. the last day to order the affected product(s) is may 1,2018. for more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739452.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of-life dates for the Cisco Nexus 9396PX Switch,N9K-M12PQ and N9K-M6PQ-E expansion module. The last day to order the affected product(s) is May 1,2018. For more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739452.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:13.156Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""EOL11922"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco Nexus 9372PX and 9372TX Switches"", ""nodeNames"": [""fabric3-leaf3"", ""fabric3-leaf9"", ""fabric3-leaf4"", ""fabric3-leaf5"", ""fabric3-leaf6"", ""fabric3-leaf7"", ""fabric3-leaf8""], ""advisoryId"": ""EOL11922_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of-life dates for the cisco nexus 9372px and 9372tx switches. the last day to order the affected product(s) is february 3,2018. for more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739451.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of-life dates for the Cisco Nexus 9372PX and 9372TX Switches. The last day to order the affected product(s) is February 3,2018. For more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739451.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:27.085Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""EOL12963"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco Application Policy Infrastructure Controller (APIC-L2 and APIC-M2)"", ""nodeNames"": [""fabricite3-apic1"", ""fabricite3-apic2"", ""fabricite3-apic3""], ""advisoryId"": ""EOL12963_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of life-dates for the cisco application policy infrastructure controller (apic-l2 and apic-m2). the last day to order the affected product(s) is june 20,2019. for more information, visit https://www.cisco.com/c/en/us/products/collateral/cloud-systefabric-management/application-policy-infrastructure-controller-apic/eos-eol-notice-c51-742143.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of life-dates for the Cisco Application Policy Infrastructure Controller (APIC-L2 and APIC-M2). The last day to order the affected product(s) is June 20,2019. For more information, visit https://www.cisco.com/c/en/us/products/collateral/cloud-systefabric-management/application-policy-infrastructure-controller-apic/eos-eol-notice-c51-742143.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""Field Notice"", ""startTs"": ""2021-04-14T07:44:26.439Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""FN72150"", ""resourceType"": ""Field Notice"", ""resourceName"": ""Field Notice"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""Field Notice: FN - 72150 - Nexus 9000/3000 Will Fail With SSD Read-Only Filesystem - Power Cycle Required - BIOS/Firmware Upgrade Recommended"", ""nodeNames"": [""fabric3-leaf4"", ""fabric3-leaf5"", ""fabric3-leaf7"", ""fabric3-leaf8"", ""fabric3-leaf3"", ""fabric3-leaf9"", ""fabric3-leaf1"", ""fabric3-leaf6"", ""fabric3-leaf10"", ""fabric3-leaf2""], ""advisoryId"": ""FN72150_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""due to a flaw in the solid state drive (ssd) firmware, the ssd will no longer respond after approximately 3.2 years of continuous operation. after the first unresponsive event is experienced, every subsequent power-cycle of the system will allow the drive to operate for another 1008 hours (approximately six weeks) before it will no longer respond again. for more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/721/fn72150.html"", ""advisoryStr"": ""Due to a flaw in the Solid State Drive (SSD) firmware, the SSD will no longer respond after approximately 3.2 years of continuous operation. After the first unresponsive event is experienced, every subsequent power-cycle of the system will allow the drive to operate for another 1008 hours (approximately six weeks) before it will no longer respond again. For more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/721/fn72150.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""Field Notice"", ""startTs"": ""2021-04-14T07:44:26.907Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""FN64210"", ""resourceType"": ""Field Notice"", ""resourceName"": ""Field Notice"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""Field Notice: FN - 64210 - APIC-L2/M2 Server Network Mode Set Incorrectly - Configuration Change Recommended"", ""nodeNames"": [""fabricite3-apic1"", ""fabricite3-apic2"", ""fabricite3-apic3""], ""advisoryId"": ""FN64210_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco has recently identified a defect in the cisco application centric infrastructure (aci) that could potentially affect customers who run these cisco application policy infrastructure controller (apic) appliances:\nserver - apic-cluster-l2\nserver - apic-cluster-m2\nserver - apic-l2\nserver - apic-m2\nserver - apic-server-l2\nserver - apic-server-m2\nthe apic-l2/m2 server cisco integrated management controller (cimc) network mode was set to shared_lom_ext mode instead of dedicated mode. apic servers have a default requirement to set the network mode to dedicated mode,or it can be reconfigured to shared_lom mode which is also supported. shared_lom_ext mode is incorrect and this setting causes some issues in the network connectivity and discovery does not function. for more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/642/fn64210.html"", ""advisoryStr"": ""Cisco has recently identified a defect in the Cisco Application Centric Infrastructure (ACI) that could potentially affect customers who run these Cisco Application Policy Infrastructure Controller (APIC) appliances:\nServer - APIC-Cluster-L2\nServer - APIC-Cluster-M2\nServer - APIC-L2\nServer - APIC-M2\nServer - APIC-Server-L2\nServer - APIC-Server-M2\nThe APIC-L2/M2 server Cisco Integrated Management Controller (CIMC) network mode was set to Shared_Lom_ext mode instead of Dedicated mode. APIC servers have a default requirement to set the network mode to Dedicated mode,or it can be reconfigured to Shared_Lom mode which is also supported. Shared_Lom_ext mode is incorrect and this setting causes some issues in the network connectivity and discovery does not function. For more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/642/fn64210.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""PSIRT"", ""startTs"": ""2021-04-14T21:35:36.766Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""CSCvw10977"", ""resourceType"": ""PSIRT"", ""resourceName"": ""PSIRT"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""minor"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""CSCvw10977: TCP/IP SYN Cookie Protection Not Enabled"", ""nodeNames"": [""fabric3-spine2"", ""fabric3-leaf4"", ""fabric3-leaf5"", ""fabric3-leaf7"", ""fabric3-leaf8"", ""fabric3-leaf3"", ""fabric3-leaf9"", ""fabric3-leaf1"", ""fabric3-leaf6"", ""fabric3-leaf10"", ""fabric3-leaf13"", ""fabric3-leaf2""], ""advisoryId"": ""CSCvw10977_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""tcp/ip syn cookie protection not enabled. for more information, please visit https://bst.cloudapps.cisco.com/bugsearch/bug/cscvw10977"", ""advisoryStr"": ""TCP/IP SYN Cookie Protection Not Enabled. For more information, please visit https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvw10977"", ""advisoryScore"": 58, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:13.257Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""EOL11142"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco Nexus 9300 First-Generation Uplink Modules"", ""nodeNames"": [""fabric3-leaf10"", ""fabric3-leaf2""], ""advisoryId"": ""EOL11142_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of-life dates for the cisco nexus 9300 first\u2011generation uplink modules. the last day to order the affected product(s) is march 1,2017. for more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-737823.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of-life dates for the Cisco Nexus 9300 First\u2011Generation Uplink Modules. The last day to order the affected product(s) is March 1,2017. For more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-737823.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""Field Notice"", ""startTs"": ""2021-04-14T07:44:13.348Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""FN72145"", ""resourceType"": ""Field Notice"", ""resourceName"": ""Field Notice"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""Field Notice: FN - 72145 - Nexus ACI 9000 Will Fail With SSD Read-Only Filesystem - Power Cycle Required - BIOS/Firmware Upgrade Recommended"", ""nodeNames"": [""fabric3-leaf2"", ""fabric3-leaf4"", ""fabric3-leaf7"", ""fabric3-leaf1"", ""fabric3-leaf10"", ""fabric3-leaf3"", ""fabric3-leaf9"", ""fabric3-leaf6"", ""fabric3-leaf5"", ""fabric3-leaf8""], ""advisoryId"": ""FN72145_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""due to a flaw in the solid state drive (ssd) firmware, the ssd will no longer respond after approximately 3.2 years of continuous operation. restart the system in order to allow the drive to operate for another 1008 hours (approximately six weeks) before it will no longer respond again. for more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/721/fn72145.html"", ""advisoryStr"": ""Due to a flaw in the Solid State Drive (SSD) firmware, the SSD will no longer respond after approximately 3.2 years of continuous operation. Restart the system in order to allow the drive to operate for another 1008 hours (approximately six weeks) before it will no longer respond again. For more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/721/fn72145.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""Field Notice"", ""startTs"": ""2021-04-14T07:44:26.722Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""FN64251"", ""resourceType"": ""Field Notice"", ""resourceName"": ""Field Notice"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""Field Notice: FN - 64251 - Nexus 9000 Series N9K-C9504-FM-E/N9K-C9508-FM-E/N9K-X9732C-EX Might Fail After 18 Months or Longer Due to Clock Signal Component Failure - Hardware Upgrade Available"", ""nodeNames"": [""fabric3-spine2"", ""fabric3-spine1""], ""advisoryId"": ""FN64251_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""the cisco nexus 9000 series products that are listed in the products affected section might fail after 18 months or longer in operation due to a clock signal component failure. for more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/642/fn64251.html"", ""advisoryStr"": ""The Cisco Nexus 9000 Series products that are listed in the Products Affected section might fail after 18 months or longer in operation due to a clock signal component failure. For more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/642/fn64251.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:26.354Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""EOL12986"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco 1st Generation Cisco Nexus 9300 Fans and PSUs"", ""nodeNames"": [""fabric3-leaf2"", ""fabric3-leaf4"", ""fabric3-leaf5"", ""fabric3-leaf3"", ""fabric3-leaf7"", ""fabric3-leaf10"", ""fabric3-leaf6"", ""fabric3-leaf8"", ""fabric3-leaf1"", ""fabric3-leaf9""], ""advisoryId"": ""EOL12986_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of-life dates for the cisco 1st generation cisco nexus 9300 fans and psus. the last day to order the affected product(s) is november 30, 2019 . for more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-742778.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of-life dates for the Cisco 1st Generation Cisco Nexus 9300 Fans and PSUs. The last day to order the affected product(s) is November 30, 2019 . For more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-742778.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:13.070Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric3"", ""entityName"": ""EOL11923"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco Nexus 9396PX Switch,N9K-M12PQ and N9K-M6PQ-E expansion module"", ""nodeNames"": [""fabric3-leaf10"", ""fabric3-leaf2"", ""fabric3-leaf1""], ""advisoryId"": ""EOL11923_fabric3"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of-life dates for the cisco nexus 9396px switch,n9k-m12pq and n9k-m6pq-e expansion module. the last day to order the affected product(s) is may 1,2018. for more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739452.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of-life dates for the Cisco Nexus 9396PX Switch,N9K-M12PQ and N9K-M6PQ-E expansion module. The last day to order the affected product(s) is May 1,2018. For more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739452.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:18.054Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric2"", ""entityName"": ""EOL11922"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco Nexus 9372PX and 9372TX Switches"", ""nodeNames"": [""fabric2-leaf10"", ""fabric2-leaf9"", ""fabric2-leaf7"", ""fabric2-leaf5"", ""fabric2-leaf4"", ""fabric2-leaf6"", ""fabric2-leaf8""], ""advisoryId"": ""EOL11922_fabric2"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of-life dates for the cisco nexus 9372px and 9372tx switches. the last day to order the affected product(s) is february 3,2018. for more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739451.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of-life dates for the Cisco Nexus 9372PX and 9372TX Switches. The last day to order the affected product(s) is February 3,2018. For more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-739451.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""Field Notice"", ""startTs"": ""2021-04-14T07:44:14.050Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric2"", ""entityName"": ""FN64251"", ""resourceType"": ""Field Notice"", ""resourceName"": ""Field Notice"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""Field Notice: FN - 64251 - Nexus 9000 Series N9K-C9504-FM-E/N9K-C9508-FM-E/N9K-X9732C-EX Might Fail After 18 Months or Longer Due to Clock Signal Component Failure - Hardware Upgrade Available"", ""nodeNames"": [""fabric2-spine1"", ""fabric2-spine2""], ""advisoryId"": ""FN64251_fabric2"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""the cisco nexus 9000 series products that are listed in the products affected section might fail after 18 months or longer in operation due to a clock signal component failure. for more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/642/fn64251.html"", ""advisoryStr"": ""The Cisco Nexus 9000 Series products that are listed in the Products Affected section might fail after 18 months or longer in operation due to a clock signal component failure. For more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/642/fn64251.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""PSIRT"", ""startTs"": ""2021-04-14T15:29:59.131Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric2"", ""entityName"": ""CSCvw10977"", ""resourceType"": ""PSIRT"", ""resourceName"": ""PSIRT"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""minor"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""CSCvw10977: TCP/IP SYN Cookie Protection Not Enabled"", ""nodeNames"": [""fabric2-leaf4"", ""fabric2-spine1"", ""fabric2-leaf5"", ""fabric2-leaf11"", ""fabric2-leaf2"", ""fabric2-leaf8"", ""fabric2-leaf13"", ""fabric2-leaf10"", ""fabric2-leaf1"", ""fabric2-leaf3"", ""fabric2-leaf9"", ""fabric2-leaf6"", ""fabric2-spine2"", ""fabric2-leaf7""], ""advisoryId"": ""CSCvw10977_fabric2"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""tcp/ip syn cookie protection not enabled. for more information, please visit https://bst.cloudapps.cisco.com/bugsearch/bug/cscvw10977"", ""advisoryStr"": ""TCP/IP SYN Cookie Protection Not Enabled. For more information, please visit https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvw10977"", ""advisoryScore"": 59, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""Field Notice"", ""startTs"": ""2021-04-14T07:44:13.886Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric2"", ""entityName"": ""FN72150"", ""resourceType"": ""Field Notice"", ""resourceName"": ""Field Notice"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""Field Notice: FN - 72150 - Nexus 9000/3000 Will Fail With SSD Read-Only Filesystem - Power Cycle Required - BIOS/Firmware Upgrade Recommended"", ""nodeNames"": [""fabric2-leaf6"", ""fabric2-leaf9"", ""fabric2-leaf8"", ""fabric2-leaf7"", ""fabric2-leaf10"", ""fabric2-leaf1"", ""fabric2-leaf2"", ""fabric2-leaf3"", ""fabric2-leaf4""], ""advisoryId"": ""FN72150_fabric2"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""due to a flaw in the solid state drive (ssd) firmware, the ssd will no longer respond after approximately 3.2 years of continuous operation. after the first unresponsive event is experienced, every subsequent power-cycle of the system will allow the drive to operate for another 1008 hours (approximately six weeks) before it will no longer respond again. for more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/721/fn72150.html"", ""advisoryStr"": ""Due to a flaw in the Solid State Drive (SSD) firmware, the SSD will no longer respond after approximately 3.2 years of continuous operation. After the first unresponsive event is experienced, every subsequent power-cycle of the system will allow the drive to operate for another 1008 hours (approximately six weeks) before it will no longer respond again. For more information, visit https://www.cisco.com/c/en/us/support/docs/field-notices/721/fn72150.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
"{""category"": ""HWEOL"", ""startTs"": ""2021-04-14T07:44:14.321Z"", ""endTs"": ""2021-04-16T06:42:13.000Z"", ""fabricName"": ""fabric2"", ""entityName"": ""EOL11766"", ""resourceType"": ""HWEOL"", ""resourceName"": ""HWEOL"", ""recommendation"": true, ""impact"": false, ""vendor"": ""CISCO_ACI"", ""severity"": ""critical"", ""acknowledged"": false, ""ackTs"": null, ""cleared"": false, ""clearTs"": null, ""masterClearTs"": null, ""expired"": false, ""alertType"": ""advisory"", ""title"": ""End-of-Sale and End-of-Life Announcement for the Cisco Nexus 9300 Series 93128TX Switch"", ""nodeNames"": [""fabric2-leaf1"", ""fabric2-leaf2"", ""fabric2-leaf3""], ""advisoryId"": ""EOL11766_fabric2"", ""advisoryType"": ""advisory"", ""streamingAdvisory"": true, ""advisoryReason"": ""cisco announces the end-of-sale and end-of-life dates for the cisco nexus 9300 series 93128tx switch. the last day to order the affected product(s) is october 30,2017. for more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-738968.html"", ""advisoryStr"": ""Cisco announces the end-of-sale and end-of-life dates for the Cisco Nexus 9300 Series 93128TX Switch. The last day to order the affected product(s) is October 30,2017. For more information, visit https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/eos-eol-notice-c51-738968.html"", ""advisoryScore"": 100, ""ni_host"": ""x.x.x.x""}","Splunk",main,advisories,"cisco:ni:advisories","2021-04-16T06:42:13.000-0700"
