APP,"Deployment_Type",Description,"LM_apps","MC_apps","DS_apps","DS_deployment_apps","IDX_apps","IDX_Peer_Node_apps","CM_apps","CM_manager_apps","SH_apps","SHCD_apps","SH_Cluster_Member_apps","SHCD_shcluster_apps","SHCD_shcluster_users","HFWD_nix_apps","HFWD_nix_DS_SC","HFWD_WIN_apps","HFWD_WIN_DS_SC","FWD_nix_apps","FWD_nix_DS_SC","FWD_WIN_apps","FWD_WIN_DS_SC","SN_apps"
"org_full_license_server","6. Clustered Indexers and Clustered SHs (Multi Site)","When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster manager are licensed functionalities (for example).
Location of the license manager.  In distributed environments, it's common to have a lone search head acting as the license manager as well. In this configuration, providing the URI of the license manager is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same.",,"YES!","YES!","YES!",,,"YES!","YES!","YES!",,,"YES!",,,YES,,YES,,,,,
"org_indexer_volume_indexes","6. Clustered Indexers and Clustered SHs (Multi Site)","Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app.",,,,,,,,"YES!",,,,,,,,,,,,,,
"org_multisite_manager_base","6. Clustered Indexers and Clustered SHs (Multi Site)","Use this to enable multi-site functionality on the cluster manager. The replication policy is defined here. Like with org_cluster_manager_base, the pass4SymmKey should be changed.
The manager's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the manager sets the number of replicated copies for that index.",,,,,,,"YES!",,,,,,,,,,,,,,,
"org_search_volume_indexes","6. Clustered Indexers and Clustered SHs (Multi Site)","The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally).",,"YES!",,"YES!",,,,,,,,"YES!",,,,,,,,,,
"org_site_n_indexer_base","6. Clustered Indexers and Clustered SHs (Multi Site)","Provide this (hand carry) to an indexer node in a multi-site cluster in order to set the site number for this host.
This app is expected to be layered on top of org_cluster_indexer_base; the settings there establish the general relationship with the manager and set up clustered indexing behavior. This is another layer to provide the site number of the host, and to indicate that the clustering should be of the multi-site variety.
This app cannot be shipped via the manager-apps mechanism; it would make all sites the same. Place it in apps on the affected indexer.  This can have a value ranging from site1..site63.  The numbers do *not* have to go in order, the first logical site can be site8, the second site12, all that matters is that the site number falls in the right range, and that when specific site names are used in the site_replication_factor of the manager's config, there must be a valid match.",,,,,,"YES!",,,,,,,,,,,,,,,,
"0_mb_license","7. Cloud",,,,"YES!","YES!",,,,,,,,,,,YES,,YES,,,,,
"100_<CUSTOMER>_splunkcloud","7. Cloud","Login to the customer Cloud Search Head, go to the Universal Forwarder App & click on ""Download Universal Forwarder Credentials""
splunkclouduf.spl (actual folder installed will be: 100_<CUSTOMER NAME>_splunkcloud)
The Splunk universal forwarder software sends data from your network to the Splunk platform for indexing and consolidation. Install and configure universal forwarder software on the machines in your network that send data to the Splunk platform.",,,"YES!","YES!",,,,,,,,,,,YES,,YES,,YES,,YES,
"TA-org_splunk","7. Cloud","TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting.",,,"YES!","YES!",,,,,,,,,,,YES,,YES,,,,,
"org_all_app_props","7. Cloud","Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle.",,,,"YES!",,,,,,,,,,,YES,,YES,,YES,,YES,
"org_all_deploymentclient","7. Cloud","Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients.",,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,
"org_all_syslog_inputs","7. Cloud",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"org_all_unix_inputs","7. Cloud",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"org_all_windows_inputs","7. Cloud",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"org_dept_app_inputs","7. Cloud","This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer.",,,,"YES!",,,,,,,,,,,,,,,YES,,YES,
"org_splk_ansible","Ansible Automation","setup clientname for everything except indexers
setup servername only on middle tier servers (forwarding tier)
setup pass4sysmkey on IDX, CM, SH & MC",,,,,,,,,,,,,,,,,,,,,,
"org_uf_all_deploymentclient",Deployments,,,,,,,,,,,,,,,,,,,,,,,
"Splunk_SA_CIM","SplunkBase Apps & Add-ons","The Common Information Model is a set of field names and tags which are expected to define the least common denominator of a domain of interest. It is implemented as documentation on the Splunk docs website and JSON data model files in this add-on. Use the CIM add-on when modeling data or building apps to ensure compatibility between apps, or to just take advantage of these data models to pivot and report.",,,,"YES!",,,,,"YES!",,,"YES!",,,,,,,,,,
"insights_app_splunk","SplunkBase Apps & Add-ons","The Splunk Technology Add-on for Unix and Linux works with the Splunk App for Unix and Linux to provide rapid insights and operational visibility into large-scale Unix and Linux environments. With its new pre-packaged alerting capability, flexible service-based hosts grouping, and easy management of many data sources, it arms administrators with a powerful ability to quickly identify performance and capacity bottlenecks and outliers in Unix and Linux environments.",,,,"YES!",,,,,,,,,,,,,,,YES,,,
"Splunk_TA_windows","SplunkBase Apps & Add-ons","The Splunk for Microsoft Windows add-on includes predefined inputs to collect data from Windows systems and maps to normalize the data to the Common Information Model.
",,,,"YES!",,,,,,,,,,,,,,,,,YES,
"org_fwd_tuning",Tuning,"Apply to UF & HF that are doing large amount of data collection like syslog",,,,"YES!",,,,,,,,,,,YES,,YES,,,,,
