Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor,Comments
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,All Gases (CO2e),0.184973003,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,CH4,0.000303976,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,CO2,0.184557427,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,N2O,0.0001116,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,All Gases (CO2e),0.205525559,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,CH4,0.000337751,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,CO2,0.205063808,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,N2O,0.000124,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,All Gases (CO2e),0.477369659,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,CH4,0.000784487,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,CO2,0.47629716,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,N2O,0.000288012,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,All Gases (CO2e),2727.826623,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,CH4,4.482785042,
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,CO2,2721.698055,
