index,source,sourcetype,host,_raw
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470745282"",""status"":""Match"",""ip"":""172.17.1.66"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470745282"",""status"":""Match"",""ip"":""172.17.1.66"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470745282"",""status"":""Match"",""ip"":""172.17.1.66"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470745282"",""status"":""Match"",""ip"":""172.17.1.66"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470745282"",""status"":""Match"",""ip"":""172.17.1.66"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470745282"",""status"":""Match"",""ip"":""172.17.1.66"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470738141"",""status"":""Match"",""ip"":""172.17.1.77"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739276"",""status"":""Match"",""ip"":""172.17.1.160"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""External Disk Drive Compliance"",""rule"":""External Disk Drive Compliance/Hosts with Compliant Disk Drives""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Send Endpoint and Policy Details to Splunk"",""rule"":""Send Endpoint and Policy Details to Splunk/Main-Rule""}"
fsctcenter,CounterACT,fsctcenter_json,localhost,"{""ctupdate"":""policyinfo"",""since"":""1470739262"",""status"":""Match"",""ip"":""172.17.1.159"",""policy"":""Policy to populate summary dashboard"",""rule"":""Policy to populate summary dashboard/Main-Rule""}"
