"NAS_Port_Type","NAS_Port",interface
Ethernet,50000,"FastEthernet0/0"
Ethernet,50001,"FastEthernet0/1"
Ethernet,50002,"FastEthernet0/2"
Ethernet,50003,"FastEthernet0/3"
Ethernet,50004,"FastEthernet0/4"
Ethernet,50005,"FastEthernet0/5"
Ethernet,50006,"FastEthernet0/6"
Ethernet,50007,"FastEthernet0/7"
Ethernet,50008,"FastEthernet0/8"
Ethernet,50009,"FastEthernet0/9"
Ethernet,50010,"FastEthernet0/10"
Ethernet,50011,"FastEthernet0/11"
Ethernet,50012,"FastEthernet0/12"
Ethernet,50013,"FastEthernet0/13"
Ethernet,50014,"FastEthernet0/14"
Ethernet,50015,"FastEthernet0/15"
Ethernet,50016,"FastEthernet0/16"
Ethernet,50017,"FastEthernet0/17"
Ethernet,50018,"FastEthernet0/18"
Ethernet,50019,"FastEthernet0/19"
Ethernet,50020,"FastEthernet0/20"
Ethernet,50021,"FastEthernet0/21"
Ethernet,50022,"FastEthernet0/22"
Ethernet,50023,"FastEthernet0/23"
Ethernet,50024,"FastEthernet0/24"
Ethernet,50025,"FastEthernet0/25"
Ethernet,50026,"FastEthernet0/26"
Ethernet,50027,"FastEthernet0/27"
Ethernet,50028,"FastEthernet0/28"
Ethernet,50029,"FastEthernet0/29"
Ethernet,50030,"FastEthernet0/30"
Ethernet,50031,"FastEthernet0/31"
Ethernet,50032,"FastEthernet0/32"
Ethernet,50033,"FastEthernet0/33"
Ethernet,50034,"FastEthernet0/34"
Ethernet,50035,"FastEthernet0/35"
Ethernet,50036,"FastEthernet0/36"
Ethernet,50037,"FastEthernet0/37"
Ethernet,50038,"FastEthernet0/38"
Ethernet,50039,"FastEthernet0/39"
Ethernet,50040,"FastEthernet0/40"
Ethernet,50041,"FastEthernet0/41"
Ethernet,50042,"FastEthernet0/42"
Ethernet,50043,"FastEthernet0/43"
Ethernet,50044,"FastEthernet0/44"
Ethernet,50045,"FastEthernet0/45"
Ethernet,50046,"FastEthernet0/46"
Ethernet,50047,"FastEthernet0/47"
Ethernet,50048,"FastEthernet0/48"
Ethernet,50049,"FastEthernet0/49"




